target_id,score_run_id,vertical,naics_code,legal_name,dba_name,address,city,county,state,zip,phone,website,license_number,license_type,license_holder_name,banner_program,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,entity_status,is_distressed,distress_reasons,location_count,pharmacist_count,compounding_capability,layer1_score,layer1_comment,layer2_score,layer2_comment,layer3_score,layer3_comment,layer4_score,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness,deep_dive_pending,drop_reason,disqualifier_type,family_successor_locked,scored_at,batch_idx,spine_index
pharm-3-matthews-pharmacy,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Matthews Pharmacy,Matthews Pharmacy,1812 Trawood Dr Ste K,El Paso,El Paso,TX,79935,(915) 598-5000,,,Class A (Community Pharmacy),,Independent (RxLocal),Matthews family (surname inferred from legal_name),56,family_name_proxy,22,22,unknown_comptroller_session_gated,False,[],,1,,52.2,"Owner ~56 (53-57 band, early succession window)",72.2,Solo pharmacist 10+yr Class A (22yr tenure),88,6 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; single-store solo PIC operation; RxLocal-only microsite (no independent domain),65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (El Paso),69,C,C-tier: Matthews Pharmacy (El Paso). Hard gate: successor verif missing on A/B candidate — capped to C,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
pharm-3-martinez-pharmacy,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Martinez Pharmacy,Martinez Pharmacy,1407 Jacaman Rd,Laredo,Webb,TX,78041,(956) 722-7600,,,Class A (Community Pharmacy),,Independent (RxLocal),Martinez family (surname inferred from legal_name),56,family_name_proxy,22,22,unknown_comptroller_session_gated,False,[],,1,,52.2,"Owner ~56 (53-57 band, early succession window)",72.2,Solo pharmacist 10+yr Class A (22yr tenure),88,6 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; single-store solo PIC operation; RxLocal-only microsite (no independent domain),65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (Webb),69,C,C-tier: Martinez Pharmacy (Laredo). Hard gate: successor verif missing on A/B candidate — capped to C,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
pharm-3-saenz-medical-pharmacy,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Saenz Medical Pharmacy,Saenz Medical Pharmacy,801 E Nolana Ave Ste 22,McAllen,Hidalgo,TX,78504,(956) 687-2500,,,Class A (Community Pharmacy),,Independent (RxLocal),Saenz family (surname inferred from legal_name),56,family_name_proxy,22,22,unknown_comptroller_session_gated,False,[],,4,,52.2,"Owner ~56 (53-57 band, early succession window)",85.6,"Multi-pharmacist/multi-loc Class A, 22yr tenure (1 loc, 4 pharmacist(s))",88,6 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; single-store solo PIC operation; RxLocal-only microsite (no independent domain),65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (Hidalgo),69,C,C-tier: Saenz Medical Pharmacy (McAllen). Hard gate: successor verif missing on A/B candidate — capped to C,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
pharm-3-jay's-pharmacy,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Jay's Pharmacy,Jay's Pharmacy,610 S Broadway St,McAllen,Hidalgo,TX,78501,(956) 682-4525,,,Class A (Community Pharmacy),,Independent (RxLocal),Jay (given name) family (surname inferred from legal_name),56,family_name_proxy,22,22,unknown_comptroller_session_gated,False,[],,1,,52.2,"Owner ~56 (53-57 band, early succession window)",72.2,Solo pharmacist 10+yr Class A (22yr tenure),88,6 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; single-store solo PIC operation; RxLocal-only microsite (no independent domain),65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (Hidalgo),69,C,C-tier: Jay's Pharmacy (McAllen). Hard gate: successor verif missing on A/B candidate — capped to C,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
pharm-3-lee's-pharmacy,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Lee's Pharmacy,Lee's Pharmacy,5120 N 10th St,McAllen,Hidalgo,TX,78504,(956) 630-5500,,,Class A (Community Pharmacy),,Independent (RxLocal),Lee family (surname inferred from legal_name),56,family_name_proxy,22,22,unknown_comptroller_session_gated,False,[],,2,,52.2,"Owner ~56 (53-57 band, early succession window)",83.6,"Multi-pharmacist/multi-loc Class A, 22yr tenure (1 loc, 2 pharmacist(s))",88,6 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; single-store solo PIC operation; RxLocal-only microsite (no independent domain),65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (Hidalgo),69,C,C-tier: Lee's Pharmacy (McAllen). Hard gate: successor verif missing on A/B candidate — capped to C,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
pharm-3-richard's-pharmacy,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Richard's Pharmacy,Richard's Pharmacy,1112 E Griffin Pkwy Ste B,Mission,Hidalgo,TX,78572,(956) 581-4200,,,Class A (Community Pharmacy),,Good Neighbor Pharmacy,Richard (given name) family (surname inferred from legal_name),56,family_name_proxy,22,22,unknown_comptroller_session_gated,False,[],,1,,52.2,"Owner ~56 (53-57 band, early succession window)",75.2,Solo pharmacist 10+yr Class A (22yr tenure) | +3 banner (GNP/Health Mart),84,5 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; single-store solo PIC operation,65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (Hidalgo),69,C,C-tier: Richard's Pharmacy (Mission).,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
pharm-3-barrachina-pharmacy,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Barrachina Pharmacy,Barrachina Pharmacy,1801 W Pike Blvd,Weslaco,Hidalgo,TX,78596,,,,Class A (Community Pharmacy),,Good Neighbor Pharmacy,Barrachina family (surname inferred from legal_name),60,family_name_aging_market_proxy,30,30,unknown_comptroller_session_gated,False,[],,1,,64.2,"Owner ~60 (58-62 band, moderate succession risk)",80.0,Solo pharmacist 10+yr Class A (30yr tenure) | +3 banner (GNP/Health Mart),88,6 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; 30+ yr tenure under same owner; single-store solo PIC operation,65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (Hidalgo),69,C,C-tier: Barrachina Pharmacy (Weslaco). Hard gate: successor verif missing on A/B candidate — capped to C,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
pharm-3-autrey-pharmacy,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Autrey Pharmacy,Autrey Pharmacy,1205 Central Blvd,Brownsville,Cameron,TX,78520,(956) 548-0801,,,Class A (Community Pharmacy),,Independent (RxLocal),Autrey family (surname inferred from legal_name),62,name_pattern_and_long_tenure_proxy,35,35,unknown_comptroller_session_gated,False,[],,3,,73.4,"Owner ~62 (58-62 band, moderate succession risk)",88.5,"Multi-pharmacist/multi-loc Class A, 35yr tenure (1 loc, 3 pharmacist(s))",92,7 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; 30+ yr tenure under same owner; single-store solo PIC operation,65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (Cameron),69,C,C-tier: Autrey Pharmacy (Brownsville). Hard gate: successor verif missing on A/B candidate — capped to C,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
pharm-3-pete's-pharmacy,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Pete's Pharmacy,Pete's Pharmacy,5235 Southmost Rd Ste C,Brownsville,Cameron,TX,78521,(956) 504-9555,,,Class A (Community Pharmacy),,Independent (RxLocal),Pete (Peter) family (surname inferred from legal_name),56,family_name_proxy,22,22,unknown_comptroller_session_gated,False,[],,2,,52.2,"Owner ~56 (53-57 band, early succession window)",83.6,"Multi-pharmacist/multi-loc Class A, 22yr tenure (1 loc, 2 pharmacist(s))",88,6 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; single-store solo PIC operation; RxLocal-only microsite (no independent domain),65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (Cameron),69,C,C-tier: Pete's Pharmacy (Brownsville). Hard gate: successor verif missing on A/B candidate — capped to C,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
pharm-3-lynn's-la-vega-pharmacy,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Lynn's La Vega Pharmacy,Lynn's La Vega Pharmacy,2401 E Waco Dr,Waco,McLennan,TX,76705,(254) 799-4949,,,Class A (Community Pharmacy),,Good Neighbor Pharmacy,Lynn (given name) family (surname inferred from legal_name),56,family_name_proxy,22,22,unknown_comptroller_session_gated,False,[],,1,,52.2,"Owner ~56 (53-57 band, early succession window)",75.2,Solo pharmacist 10+yr Class A (22yr tenure) | +3 banner (GNP/Health Mart),84,5 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; single-store solo PIC operation,60,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline),69,C,C-tier: Lynn's La Vega Pharmacy (Waco).,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
pharm-3-town-and-country-drug,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Town and Country Drug,Town and Country Drug,2616 N Grandview,Odessa,Ector,TX,79761,(432) 366-2868,,,Class A (Community Pharmacy),,Good Neighbor Pharmacy / Health Mart,Gary Warren,60,long_tenure_language_proxy,30,30,unknown_comptroller_session_gated,False,[],,1,,64.2,"Owner ~60 (58-62 band, moderate succession risk)",80.0,Solo pharmacist 10+yr Class A (30yr tenure) | +3 banner (GNP/Health Mart),88,6 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; 30+ yr tenure under same owner; single-store solo PIC operation,65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (Ector),69,C,C-tier: Town and Country Drug (Odessa). Hard gate: successor verif missing on A/B candidate — capped to C,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
pharm-3-martin-tipton-pharmacy,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Martin Tipton Pharmacy,Martin Tipton Pharmacy,1501 S Tyler St,Amarillo,Potter,TX,79101,(806) 373-2812,,,Class A (Community Pharmacy),,Good Neighbor Pharmacy,Martin Tipton family (surname inferred from legal_name),60,enhanced_service_family_pharmacy_proxy,22,22,unknown_comptroller_session_gated,False,[],,1,True,64.2,"Owner ~60 (58-62 band, moderate succession risk)",80.2,"Solo pharmacist 10+yr Class A (22yr tenure) | +5 compounding, +3 banner (GNP/Health Mart)",80,4 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; single-store solo PIC operation,70,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (Potter) | +5 compounding specialty,69,C,C-tier: Martin Tipton Pharmacy (Amarillo). Hard gate: successor verif missing on A/B candidate — capped to C,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
pharm-3-parker's-city-pharmacy,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Parker's City Pharmacy,Parker's City Pharmacy,1227 Highway 90 W,Seguin,Guadalupe,TX,78155,,,,Class A (Community Pharmacy),,Good Neighbor Pharmacy,Parker family (surname inferred from legal_name),60,family_name_aging_market_proxy,30,30,unknown_comptroller_session_gated,False,[],,1,,64.2,"Owner ~60 (58-62 band, moderate succession risk)",80.0,Solo pharmacist 10+yr Class A (30yr tenure) | +3 banner (GNP/Health Mart),88,6 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; 30+ yr tenure under same owner; single-store solo PIC operation,65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (Guadalupe),69,C,C-tier: Parker's City Pharmacy (Seguin). Hard gate: successor verif missing on A/B candidate — capped to C,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
pharm-3-dyer-drug-store,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Dyer Drug Store,Dyer Drug Store,104 Main St,Farmersville,Collin,TX,75442,,,,Class A (Community Pharmacy),,Good Neighbor Pharmacy,Dyer family (surname inferred from legal_name),60,family_name_aging_market_proxy,35,35,unknown_comptroller_session_gated,False,[],,1,,64.2,"Owner ~60 (58-62 band, moderate succession risk)",83.0,Solo pharmacist 10+yr Class A (35yr tenure) | +3 banner (GNP/Health Mart),88,6 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; 30+ yr tenure under same owner; single-store solo PIC operation,65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (Collin),69,C,C-tier: Dyer Drug Store (Farmersville). Hard gate: successor verif missing on A/B candidate — capped to C,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
pharm-3-boomtown-drug,ffb5045a-257d-44e3-a88e-fd243c69a15b,independent_pharmacy,446110,Boomtown Drug,Boomtown Drug,412 E 3rd St,Burkburnett,Wichita,TX,76354,,,,Class A (Community Pharmacy),,Good Neighbor Pharmacy,,60,classic_drug_store_branding_proxy,,35,unknown_comptroller_session_gated,False,[],,1,,64.2,"Owner ~60 (58-62 band, moderate succession risk)",83.0,Solo pharmacist 10+yr Class A (35yr tenure) | +3 banner (GNP/Health Mart),84,5 coast tell(s): pre-2015 website or none; no online refill / app; phone-only intake; no specialty services; single-store solo PIC operation,65,pharmacy PE consolidation rising; PBM compression = motivated sellers (+5 baseline) | +5 rural-elderly/RGV/El Paso (Wichita),69,C,C-tier: Boomtown Drug (Burkburnett). Hard gate: successor verif missing on A/B candidate — capped to C,"Watch-list. Verify successor status, owner age, and deep-dive verification before active outreach.",low,,True,,,False,2026-05-16T17:03:57Z,3,
