legal_name,city,county,state,zip,vertical,naics_code,owner_name,owner_age_estimate,owner_age_source,years_in_business,year_established,employee_count_estimate,entity_status,is_distressed,distress_reasons,website,phone,iso_9001,as9100,itar_registered,api_certifications,score_run_id,layer1_base_rate,layer2_sellability,layer3_behavioral_trigger,layer4_market_pull,final_score,final_tier,confidence,data_completeness,deep_dive_pending
Metal Machining Technology,Houston,Harris,TX,77066,cnc_machine_shop,332710,,55,founder_2008_plus_35yr_experience_proxy,18,2008,6,Active_presumed,False,,https://metalmachiningtech.com/,(713) 855-5065,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,47,62,67,90,63,B_forward,low,0.35,False
Osborn Technical Services,Pinehurst,Montgomery,TX,77362,cnc_machine_shop,332710,Vernon Osborn,67,founder_2002_with_50yr_combined_experience_proxy,24,2002,18,Active_presumed,False,,https://osbornts.com/,(281) 356-3906,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,82,70,20,90,62,B_forward,medium,0.65,False
EMD,Houston,Harris,TX,77040,cnc_machine_shop,332710,,,30yr_industry_tenure_implies_late_50s_owner,30,,15,unknown_not_verified,False,,https://emd-usa.com/,(713) 849-2523,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,29,75,67,90,61,B_forward,low,0.4,False
Waggoner Manufacturing Inc.,Round Rock,Williamson,TX,78665,cnc_machine_shop,332710,"Danton Waggoner (President, 3rd gen). Founder: Pat Waggoner (1979, garage origin serving Eaton Manufacturing/Austin semicon). 2nd gen: founder's son(s).",48,3rd_gen_active_proxy,47,1979,30,Active,False,,https://waggonermanufacturing.com,(512) 255-8571,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,29,70,67,82,59,C_watch,medium-high,0.85,False
Austin Precision Machining and Manufacturing (APMM),Pflugerville,Travis,TX,78660,cnc_machine_shop,332710,"Tensay Johnson (Founder, 19+ yr operator)",50,founded_2007_at_~30yo_proxy_=_~50_now,19,2007,10,Active,False,,https://austinprecisionmachining.com,(512) 337-6598,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,70,67,82,57,C_watch,low-medium,0.55,False
KALCO Machine & Manufacturing,Wichita Falls,Wichita,TX,,cnc_machine_shop,332710,,55,founded_1998_as_three_man_team_proxy,28,1998,80,Active_presumed,False,,https://kalcomachine.com/,(940) 761-5050,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,51,85,42,50,57,C_watch,low-medium,0.55,False
JB Machine LLC,San Antonio,Bexar,TX,,cnc_machine_shop,332710,Jarid (last name not disclosed publicly; referenced in customer testimonials as owner),50,founder_active_26yr_proxy,26,2000,8,Active,False,,https://jb-machine.com,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,29,62,67,78,56,C_watch,low-medium,0.45,False
JY's Extreme Machine LLC,Burleson,Johnson,TX,76028,cnc_machine_shop,332710,Jason Yeates (JY) — Founder/Owner/Operator,50,founded_2005_+_35yr_combined_team_cnc_experience_proxy,21,2005,5,Active,False,,https://jysextrememachine.com,(817) 295-1313,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,62,67,88,56,C_watch,medium-high,0.78,False
MSM Machine Works,Houston,Harris,TX,77015,cnc_machine_shop,332710,,,not_found,,,12,unknown_not_verified,False,,https://msmmachine.com/,(713) 636-9535,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,55,88,90,55,C_watch,low,0.4,False
Alloy CNC Inc,Conroe,Montgomery,TX,,cnc_machine_shop,332710,,,not_found,,,75,unknown_not_verified,False,,https://alloycnc.com/,(936) 449-4001,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,55,67,90,55,C_watch,low,0.4,False
"Precision Machining Company, LLC",Fort Worth,Tarrant,TX,76140,cnc_machine_shop,332710,Owner name not publicly disclosed; 3rd-generation family-owned per company self-description,50,3rd_gen_active_proxy,,,15,Active,False,,https://www.precisionmachiningtexas.com,(682) 373-4775,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,55,67,88,55,C_watch,low-medium,0.45,False
Pearland Precision,Pearland,Brazoria,TX,77581,cnc_machine_shop,332710,Chad (last name not disclosed),55,30plus_years_experience_proxy,,,5,Active_presumed,False,,https://pearlandprecision.com/,(713) 962-0901,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,47,45,67,90,55,C_watch,low,0.35,False
Meyer Enterprises,Denton,Denton,TX,,cnc_machine_shop,332710,,67,angelfire_era_web_proxy,,,3,Active_presumed,False,NOTE: enrichment flagged is_distressed=true but notes describe textbook coasting/ETA profile — reclassified as coasting_heavy with confidence cap,https://www.angelfire.com/tx/fuelcarfan/meyer/main.html,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,82,45,67,88,55,C_watch,low,0.35,False
Automatic Products Corporation (APC),Garland,Dallas,TX,75042,cnc_machine_shop,332710,"G. Christopher (Chris) Tedford — President since 2007 (3rd gen). Gary E. Tedford — Chairman (2nd gen, became Pres 1980). Founder: Charles E. Tedford (1957).",52,3rd_gen_succession_proxy_2007_handoff,69,1957,120,Active,False,,https://www.ap-corp.com,(972) 272-6422,False,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,29,80,42,88,54,C_watch,medium-high,0.88,False
EDM of Texas Manufacturing,Houston,Harris,TX,77073,cnc_machine_shop,332710,,,not_found,31,1995,10,unknown_not_verified,False,,https://www.edmoftexas.com/,(281) 697-1087,False,False,False,FDA-compatible docs; GMP; 3-A standards,becddbcf-bcef-4bb1-80b9-95fed0635545,29,70,42,90,52,C_watch,low-medium,0.5,False
Conroe Machine,Conroe,Montgomery,TX,77303,cnc_machine_shop,332710,,,not_found,26,2000,120,unknown_not_verified,False,,https://www.conroemachine.com/,(936) 494-2566,True,True,True,API Q1 (Q1-1922); API Spec 7-1 (7-1-0377); API Monogram (ISO-0250),becddbcf-bcef-4bb1-80b9-95fed0635545,29,95,20,90,52,C_watch,medium,0.6,False
"Transtar CNC Machine, LLC",Arlington,Tarrant,TX,76012,cnc_machine_shop,332710,Group of partners with 50+ yrs combined CNC experience (specific names not disclosed publicly),,unknown,,,12,Active,False,,https://www.transtarmachine.com,(682) 553-8602,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,70,42,88,51,C_watch,low-medium,0.5,False
"ABCD Precision, Inc.",Houston,Harris,TX,77041,cnc_machine_shop,332710,"Arnold Blanco, Corallo Daniel (co-founders)",55,founder_named_2012_with_experienced_machinist_prior_career,14,2012,8,unknown_not_verified,False,,https://abcdprecision.com/,(832) 230-5729,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,47,67,20,90,50,C_watch,low-medium,0.5,False
"Centerline Manufacturing, LTD.",Houston,Harris,TX,77041,cnc_machine_shop,332710,,,not_found,21,2005,18,unknown_not_verified,False,,https://centerlinemanufacturingltd.com/,(713) 329-9070,True,True,True,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,90,20,90,50,C_watch,low-medium,0.55,False
"American Valmark, Inc.",Spicewood,Travis,TX,78669,cnc_machine_shop,332710,Rachel Prevost (President),48,founded_~20yo_ago_+_president_tenure_proxy,21,2005,15,Active,False,,https://texascncmachining.com,(512) 264-0686,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,70,42,82,50,C_watch,medium,0.65,False
"Bryli, Inc.",,,TX,,cnc_machine_shop,332710,,55,founder_2001_proxy,25,2001,25,Active_presumed,False,,https://www.bryli.com/,,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,51,85,20,50,50,C_watch,low,0.4,False
"Cutting Source Precision, Inc.",Houston,Harris,TX,77041,cnc_machine_shop,332710,,,not_found,26,2000,15,unknown_not_verified,False,,https://cspmachine.com/,(281) 859-2900,True,False,False,ISO/TS 29001:2010; ASME NQA-1,becddbcf-bcef-4bb1-80b9-95fed0635545,29,75,20,90,47,C_watch,low-medium,0.55,False
Mitchell Crane,Bryan,Brazos,TX,77808,cnc_machine_shop,332710,,,not_found,40,,100,unknown_not_verified,False,,https://www.mitchellcrane.com/,(800) 826-5612,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,54,70,20,50,47,C_watch,low-medium,0.45,False
Leverage Mechanical Services,Baytown,Harris,TX,77521,cnc_machine_shop,332710,,,unknown,,,25,Active_presumed,False,,https://leveragemechanicalservices.com/,(281) 947-5512,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,55,42,90,47,C_watch,low,0.3,False
Mann Made Industries / G01 Enterprises Inc.,Dallas,Dallas,TX,,cnc_machine_shop,332710,,,unknown,,,20,Active_presumed,False,,https://www.mannmadeinc.com/,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,55,42,88,47,C_watch,low,0.3,False
RBR Machine,Houston,Harris,TX,,cnc_machine_shop,332710,,,not_found,,,25,unknown_not_verified,False,,https://www.rbrmachine.com/,(281) 469-6400,True,True,True,API threading,becddbcf-bcef-4bb1-80b9-95fed0635545,25,75,20,90,46,C_watch,medium,0.6,False
TXSwiss,Conroe,Montgomery,TX,77301,cnc_machine_shop,332710,,,20yr_tenure_implies_late_50s_owner,20,,20,unknown_not_verified,False,,https://txswiss.com/,(866) 897-9477,True,False,False,AGS; AIAO-BAR,becddbcf-bcef-4bb1-80b9-95fed0635545,25,75,20,90,46,C_watch,low-medium,0.5,False
Dallas Precision Machining (DPM),Carrollton,Dallas,TX,75006,cnc_machine_shop,332710,Sister company of Pacific Sensor LLC (Carrollton TX). William Ritter listed as VP of Pacific Sensor — likely same-ownership structure. No DPM-specific founder disclosed.,,unknown,,,20,Active,False,,https://dallasprecisionmachining.com,(469) 588-3788,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,70,20,88,44,D_pass,low-medium,0.55,False
Garland Service Company (GSC),Garland,Dallas,TX,75042,cnc_machine_shop,332710,Owner name not publicly disclosed,,unknown,,,35,Active,False,,https://www.gscusa.net,(972) 494-1911,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,70,20,88,44,D_pass,low-medium,0.55,False
Saga Machine Co.,Denton,Denton,TX,76205,cnc_machine_shop,332710,,,unknown,,,10,Active_presumed,False,,https://sagamachineco.com/,(940) 323-1256,False,True,True,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,70,20,88,44,D_pass,low-medium,0.45,False
"U.C. Precision, Inc.",Houston,Harris,TX,77095,cnc_machine_shop,332710,,,not_found,,,10,unknown_not_verified,False,,https://ucprecisioninc.com/,(281) 529-6912,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,60,20,90,42,D_pass,low-medium,0.55,False
Turbine Component Repair Inc.,Houston,Harris,TX,77018,cnc_machine_shop,332710,,,not_found,,,15,unknown_not_verified,False,,https://www.tcrhouston.com/,(713) 895-9551,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,60,20,90,42,D_pass,low-medium,0.45,False
Tool Tech Machining & Sheet Metal,Beaumont area,Jefferson,TX,,cnc_machine_shop,332710,,,unknown,,,20,Active_presumed,False,,https://www.tooltechmachining.com/,(409) 840-5650,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,55,42,55,42,D_pass,low,0.3,False
Texas Contract Manufacturing Group (TCMG),Austin,Travis,TX,78746,cnc_machine_shop,332710,EXCLUDED — multi-subsidiary group (Apex Machining + IMT Precision + Lor-Van + Unitech Tool & Machine + Weiser Engineering),,n/a,,,,Active,False,,https://www.tcmgco.com,,True,True,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,60,20,82,41,D_pass,low,0.2,False
OEM Machining,League City,Galveston,TX,77573,cnc_machine_shop,332710,,,unknown,,,8,Active_presumed,False,,https://www.oemmachining.com/,(281) 724-1068,True,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,50,20,90,40,D_pass,low,0.4,False
"MIC-ALL Machining, Inc.",Burton,Washington,TX,77835,cnc_machine_shop,332710,Leslie Little (President per testimonials),,unverified,,,8,unknown_not_verified,False,,https://micallmachining.com/,(979) 830-8558,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,45,42,50,39,D_pass,low-medium,0.55,False
Ultimate Precision Tech,Houston,Harris,TX,,cnc_machine_shop,332710,Long Tao,45,ceo_since_2019_proxy,7,2019,10,Active_presumed,False,,https://ultimateprecisiontechnology.com/,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,18,55,20,90,39,D_pass,low,0.4,False
C & C Machining LLC,Fort Worth,Tarrant,TX,,cnc_machine_shop,332710,,,unknown,,,,Active_presumed,False,,,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,45,20,88,38,D_pass,low,0.15,False
Wakeland Engineering PLLC,,,TX,,cnc_machine_shop,332710,,,unknown,,,5,Active_presumed,False,,,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,45,20,50,32,D_pass,low,0.15,False
"Texas Machined Components, Inc.",,,TX,,cnc_machine_shop,332710,,,unknown,,,,Active_presumed,False,,,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,45,20,50,32,D_pass,low,0.1,False
"Expert Tool & Machine, Inc.",,,TX,,cnc_machine_shop,332710,,,unknown,,,,Active_presumed,False,,http://www.etmusa.com,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,45,20,50,32,D_pass,low,0.15,False
"New Braunfels Machine, Inc.",New Braunfels,Comal,TX,,cnc_machine_shop,332710,,,unknown,,,10,Active_presumed,True,,https://www.nbmachineinc.com/,,False,False,False,,becddbcf-bcef-4bb1-80b9-95fed0635545,25,18,42,78,25,D_pass,low,0.25,False
