legal_name,dba_name,city,county,zip,address,phone,website,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,provider_count_estimate,employee_count_estimate,is_distressed,distress_reasons,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness,lines_of_business
Alpine Insurance of Texas,,Austin,Travis,78759,12731 Research Blvd,512-459-3434,https://www.alpineinsurancetexas.com/,Michelle Davis (President per LinkedIn search snippet); separate person Michaela McGookey also at agency,,unknown,25,25,,False,[],49,"Michelle Davis (President per LinkedIn search snippet); separate person Michaela McGookey also at agency, age UNKNOWN; 25-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",85,25-yr mixed agency; 14 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,87,Travis County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,67,B_forward,"L1 49/L2 85/L3 60/L4 87 → final 67, tier B_forward (conf medium).",,medium,0.5,mixed,
Heaton Bennett Insurance,,Austin,Travis,78759,3933 Steck Ave Ste B-119,512-372-8311,https://insureaustin.com/,Nancy Heaton (Owner); Ross Bennett (partner per name),,unknown,22,22,30,False,[],45,"Nancy Heaton (Owner); Ross Bennett (partner per name), age UNKNOWN; 22-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",85,22-yr mixed agency; 8 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,87,Travis County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,66,B_forward,"L1 45/L2 85/L3 60/L4 87 → final 66, tier B_forward (conf medium).",,medium,0.5,mixed,
Alliance Insurance Agency,,Frisco,Collin (cross-Dallas),75033,"5566 Main Street, Suite 210, Frisco, TX 75033",(214) 618-5430,https://www.allianceinsure.com/about-us.html,,,unknown,23,23,,False,[],45,"owner not identified, age UNKNOWN; 23-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",85,23-yr mixed agency; 9 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,69,Collin (cross-Dallas) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,63,B_forward,"L1 45/L2 85/L3 60/L4 69 → final 63, tier B_forward (conf low).",,low,0.38,mixed,
Rock Insurance Agency,,Houston,Harris,77042,10700 Richmond Ave Suite 103,,https://www.rockinsurancetexas.com/,,,unknown,,33,,False,[],59,"owner not identified, age UNKNOWN; 33-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",91,33-yr mixed agency; 4 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Harris County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,62,B_forward,"L1 59/L2 91/L3 28/L4 89 → final 62, tier B_forward (conf low).",,low,0.38,mixed,
"Bankhead Insurance Agency, LLC",,Dallas,Dallas,75248,"17103 Preston Rd., Ste. 175",,https://www.insurancedallas.com/,Philip Bankhead,,linkedin_tenure_proxy,40,40,,False,[],59,"Philip Bankhead, age UNKNOWN; 40-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",91,40-yr mixed agency; 5 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Dallas County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,62,B_forward,"L1 59/L2 91/L3 28/L4 89 → final 62, tier B_forward (conf medium).",,medium,0.5,mixed,
"Magnum Choice Insurance Agency, Inc.",,Plano,Collin (cross-Dallas),,,972-801-6878,https://magnumchoice.com/,,,unknown,20,20,,False,[],45,"owner not identified, age UNKNOWN; 20-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",82,20-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,69,Collin (cross-Dallas) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,62,B_forward,"L1 45/L2 82/L3 60/L4 69 → final 62, tier B_forward (conf low).",,low,0.38,mixed,
"Kingspoint Insurance Agency, Inc.",,Houston,Harris,77082,11200 Richmond Ave Ste 350,,https://kingspointinsurance.com/,Ha Le,,license_tenure_proxy,36,36,,False,[],59,"Ha Le, age UNKNOWN; 36-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,36-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Harris County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,61,B_forward,"L1 59/L2 88/L3 28/L4 89 → final 61, tier B_forward (conf medium).",,medium,0.5,mixed,
Thumann Insurance Agency,,Dallas,Dallas,75251,12770 Coit Road Suite 110,(972) 991-9100,https://thumanninsuranceagency.com/,Steve Thumann,,license_tenure_proxy,20,30,,False,[],59,"Steve Thumann, age UNKNOWN; 30-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,30-yr mixed agency; 1 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Dallas County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,61,B_forward,"L1 59/L2 88/L3 28/L4 89 → final 61, tier B_forward (conf medium).",,medium,0.62,mixed,
The Select Insurance Agency,,Lewisville,Denton (cross-Dallas),,"500 S Denton Tap Rd, Coppell, TX (also Lewisville)",,https://www.insurancefordfw.com/,Todd McShan,60,license_tenure_proxy,30,22,,False,[],63,"Todd McShan, est. age ~60 (license-tenure proxy); 22-yr agency tenure.",77,22-yr personal_only agency; 5 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,42,1 coasting tell(s). Successor-check live-fetch captured.,62,Denton (cross-Dallas) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,60,B_forward,"L1 63/L2 77/L3 42/L4 62 → final 60, tier B_forward (conf medium).",,medium,0.62,personal_only,1
Greater Austin Insurance Agency,,Austin,Travis,,,,https://gaiai.com/,Robert (Bob) Husk — founder; Jeff Husk (son) — designated successor,72,license_tenure_proxy,46,46,,False,[],96,"Robert (Bob) Husk — founder; Jeff Husk (son) — designated successor, est. age ~72 (license-tenure proxy); 46-yr agency tenure.",88,46-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,87,Travis County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,82,C_watch,"GATE: successor_in_place: Bob + Jeff Husk active father-son partnership. L1 96/L2 88/L3 60/L4 87 → final 82, tier C_watch (conf medium).",,medium,0.62,mixed,
Central Insurance Agency,,Austin,Travis,78752,6000 N. Lamar Blvd.,512.451.6551,https://www.centralins.com/,"Andy Raper (VP) and Scott Raper (President) — brothers, 2nd generation",64,public_records_birthdate,,67,20,False,[],82,"Andy Raper (VP) and Scott Raper (President) — brothers, 2nd generation, est. age ~64 (public_records_birthdate); 67-yr agency tenure.",88,67-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,87,Travis County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,78,C_watch,"GATE: successor_in_place: Active Raper brothers succession (Scott Raper b. 1962 + Tyler Raper 2nd gen). L1 82/L2 88/L3 60/L4 87 → final 78, tier C_watch (conf medium).",,medium,0.62,mixed,
Tom Hotaling Insurance Agency,"GTX Insurance Partners, LLC",San Antonio,Bexar,78216,"7300 Blanco Rd Ste 102, San Antonio, TX 78216 (also 888 Isom Rd)",(210) 348-8500,https://www.tomhotaling.com/,Tom Hotaling (Principal Partner) + Greg Garcia (Co-Principal Partner),64,license_tenure_proxy,34,34,,False,[],82,"Tom Hotaling (Principal Partner) + Greg Garcia (Co-Principal Partner), est. age ~64 (license-tenure proxy); 34-yr agency tenure.",88,34-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,84,Bexar County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,77,C_watch,"GATE: partnership_internal_succession_signal. L1 82/L2 88/L3 60/L4 84 → final 77, tier C_watch (conf medium).",,medium,0.62,mixed,2
Threlkeld & Company Insurance Agency,TCI,Tyler,"Smith (East TX — out of 5-metro scope, but DFW + Houston offices)",,"1121 ESE Loop 323, Suite 200",,https://www.threlkeld.com/,"Todd W. Threlkeld (CEO, 2nd gen); Dustin Glover (President, non-family, joined 2008)",62,license_tenure_proxy,38,44,40,False,[],75,"Todd W. Threlkeld (CEO, 2nd gen); Dustin Glover (President, non-family, joined 2008), est. age ~62 (license-tenure proxy); 44-yr agency tenure.",88,44-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,69,"Smith (East TX — out of 5-metro scope, but DFW + Houston offices) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.",73,C_watch,"GATE: successor_in_place: Dustin Glover (President, ~40-42) clear heir-apparent to Todd Threlkeld. L1 75/L2 88/L3 60/L4 69 → final 73, tier C_watch (conf medium).",,medium,0.62,mixed,13
Dreiss Insurance Agency,,Boerne,Kendall (cross-Bexar),78006,805 N Main St,,https://www.dreissinsurance.com/,"Lee Dreiss (owner, 2nd gen, since 1986); Denton Dreiss (son, 3rd gen, Boerne HS Class of 2016, Commercial Lines Manager); Amy Dreiss (wife, Office Manager)",62,license_tenure_proxy,40,47,5,False,[],75,"Lee Dreiss (owner, 2nd gen, since 1986); Denton Dreiss (son, 3rd gen, Boerne HS Class of 2016, Commercial Lines Manager); Amy Dreiss (wife, Office Manager), est. age ~62 (license-tenure proxy); 47-yr agency tenure.",88,47-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,69,Kendall (cross-Bexar) County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,73,C_watch,"GATE: successor_in_place: Denton Dreiss in training as 2nd gen. L1 75/L2 88/L3 60/L4 69 → final 73, tier C_watch (conf medium).",,medium,0.62,mixed,
Dean & Draper Insurance Agency,,Houston,Harris,77098,"3131 W Alabama St, Suite 150",,https://www.deandraper.com/,Kyle Dean (son of founder Bob Dean),,website_self_report,,45,,False,[],59,"Kyle Dean (son of founder Bob Dean), age UNKNOWN; 45-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",91,45-yr mixed agency; 7 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Harris County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,72,C_watch,"GATE: successor_in_place: Bob → Kyle Dean succession executed — multi-partner structure. L1 59/L2 91/L3 60/L4 89 → final 72, tier C_watch (conf medium).",,medium,0.5,mixed,
David Ison Insurance,"David Ison & Sons Insurance, Inc.",San Antonio,Bexar,78216,1383 East Bitters #1,210-490-1494,https://davidisoninsurance.com/,"Stephen W. Ison (CEO/Owner), with Mark R. Ison (VP) and David W. Ison (Director)",,unknown,47,47,4,False,[],59,"Stephen W. Ison (CEO/Owner), with Mark R. Ison (VP) and David W. Ison (Director), age UNKNOWN; 47-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,47-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,60,2 coasting tell(s). Successor-check live-fetch captured.,84,Bexar County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,70,C_watch,"GATE: successor_in_place: Multi-gen: David founder → Stephen CEO + Mark VP + Jake 3rd gen. L1 59/L2 88/L3 60/L4 84 → final 70, tier C_watch (conf medium).",,medium,0.5,mixed,4
Britton & Britton Insurance,"Britton and Britton Insurance Services, Inc.",Austin,Travis,,"2028 E Ben White Blvd, Austin (also San Marcos branch)",512-469-0693,https://www.brittonandbritton.com/,"Robert C. 'Riley' Britton (2nd generation, current principal); Robert 'Bob' Britton (founder, status unclear)",,license_tenure_proxy,33,40,,False,[],59,"Robert C. 'Riley' Britton (2nd generation, current principal); Robert 'Bob' Britton (founder, status unclear), age UNKNOWN; 40-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,40-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,42,1 coasting tell(s). Successor-check live-fetch captured.,87,Travis County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,65,C_watch,"GATE: successor_in_place: Bob Britton → Riley Britton succession executed. L1 59/L2 88/L3 42/L4 87 → final 65, tier C_watch (conf medium).",,medium,0.5,mixed,3
Insurance Over Texas,,Houston,Harris,,430 Hwy 6 S. #102,281-752-6704,https://www.insuranceovertexas.com/,Martha Juarez,,website_self_report,,31,,False,[],59,"Martha Juarez, age UNKNOWN; 31-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",91,31-yr mixed agency; 13 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Harris County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,62,C_watch,"GATE: successor_in_place: Succession just completed — Dale Jackson → Martha Juarez. L1 59/L2 91/L3 28/L4 89 → final 62, tier C_watch (conf medium).",,medium,0.5,mixed,
"Pasadena Insurance Agency, Inc.",,Pasadena/Houston,Harris,77007,"99 Detering, Houston, TX 77007",,https://www.pasins.com/,Frank Karkowsky (President) + Ronnie Karkowsky (VP) — 3rd gen brothers,,website_self_report,,90,,False,[],59,"Frank Karkowsky (President) + Ronnie Karkowsky (VP) — 3rd gen brothers, age UNKNOWN; 90-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,90-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Harris County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,61,C_watch,"GATE: successor_in_place: 3rd-gen Karkowsky brothers actively operating — succession path locked. L1 59/L2 88/L3 28/L4 89 → final 61, tier C_watch (conf medium).",,medium,0.5,mixed,
Gibb Agency Insurance Services,,Dallas,Dallas,75243,"9535 Forest Ln, Ste 102",,https://gibbinsuranceservices.com/,"Susana Gibb (Dallas branch, since 1997) + Gilbert Gibb (founder, Tyler, since 1989)",,website_self_report,29,37,,False,[],59,"Susana Gibb (Dallas branch, since 1997) + Gilbert Gibb (founder, Tyler, since 1989), age UNKNOWN; 37-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",88,37-yr mixed agency; 0 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Dallas County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,61,C_watch,"GATE: successor_in_place: Gilbert → Susana Gibb father-daughter succession executed. L1 59/L2 88/L3 28/L4 89 → final 61, tier C_watch (conf medium).",,medium,0.5,mixed,
Brooks Cannon Insurance Group,,Dallas,Dallas,75206,5728 Prospect Ave Suite 2003,214-446-9000,https://brookscannon.com/,Brooks Cannon,,linkedin_career_start,26,26,,False,[],49,"Brooks Cannon, age UNKNOWN; 26-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",85,26-yr mixed agency; 11 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Dallas County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,58,C_watch,"L1 49/L2 85/L3 28/L4 89 → final 58, tier C_watch (conf medium).",,medium,0.5,mixed,
Champion Commercial Insurance,,Dallas,Dallas,,8131 Lyndon B Johnson Fwy,,https://championins.com/,Bruce Sams (4th gen TX insurance) + David Hunt + Greg Rumsey,,website_self_report,29,29,,False,[],49,"Bruce Sams (4th gen TX insurance) + David Hunt + Greg Rumsey, age UNKNOWN; 29-yr agency tenure — license-tenure proxy only, no CAD/OV65 this pass.",85,29-yr mixed agency; 8 carriers visible. Renewal-commission recurring revenue is the L2 ceiling for insurance.,28,0 coasting tell(s). Successor-check live-fetch not completed — caps confidence at low/medium.,89,Dallas County — insurance brokerage is the most M&A-active vertical (700+ deals/yr nationally). Higginbotham + Hub + Acrisure + AssuredPartners + Inszone all bolt-on active in TX metros.,58,C_watch,"GATE: successor_in_place: Just merged with Wood-Wilson April 2023. L1 49/L2 85/L3 28/L4 89 → final 58, tier C_watch (conf medium).",,medium,0.5,mixed,
