legal_name,city,county,state,zip,vertical,naics_code,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,year_established,fleet_size,employee_count_estimate,specialty,fmcsa_dot_number,mc_number,entity_status,is_distressed,distress_reasons,website,phone,score_run_id,layer1_base_rate,layer2_sellability,layer3_behavioral_trigger,layer4_market_pull,final_score,final_tier,confidence,data_completeness,deep_dive_pending
GM Oilfield & Trucking Services LLC,Midland,Midland,TX,79706,specialty_trucking,484220,unverified,,unverified,,,,,,oil_gas_water_hauling,,,unknown_not_verified_comptroller,False,,https://gmtruckingmidland.com/,(432) 934-6525,60142bff-46df-4b25-af71-e986ba07e8b8,30,40,35,78,41,D_pass,low,0.25,False
Diamond Pump and Transport,Odessa,Ector,TX,79766,specialty_trucking,484220,unverified,,unverified,,,,,,oil_gas_water_hauling,,,unknown_not_verified_comptroller,False,,https://www.diamondpumptransport.com/,(432) 203-0264,60142bff-46df-4b25-af71-e986ba07e8b8,30,45,40,78,44,D_pass,low,0.3,False
Tiki Trucking LP,Leander,Williamson,TX,78641,specialty_trucking,484220,Tiki family (unverified specific principal),,unverified,20,20,2006,,,aggregate,,,unknown_not_verified_comptroller,False,,https://www.tikitrucking.com/,(512) 422-8851,60142bff-46df-4b25-af71-e986ba07e8b8,50,60,50,85,58,C_watch,low,0.45,False
Redbird Trucking LLC,Austin,Travis,TX,,specialty_trucking,484220,unverified,,unverified,14,14,2012,,,chemical,,,unknown_not_verified_comptroller,False,,https://redbirdtrucking.com/,(512) 392-3550,60142bff-46df-4b25-af71-e986ba07e8b8,25,55,20,80,39,D_pass,low,0.35,False
Dee King Trucking,Amarillo,Potter,TX,,specialty_trucking,484220,King family (Dee King and family),62,founder_named_1992_likely_late_50s_early_60s,34,34,1992,,,agricultural,,,unknown_not_verified_comptroller,False,,https://deekingtrucking.com/,(806) 670-9537,60142bff-46df-4b25-af71-e986ba07e8b8,78,60,70,80,71,B_forward,medium,0.45,False
Texas Premier Resources LLC,Houston,Harris,TX,77098,specialty_trucking,484220,unverified family,,unverified,23,23,2003,,,oil_gas_water_hauling,,,unknown_not_verified_comptroller,False,,https://www.premiertanktrucks.com/,(713) 524-8550,60142bff-46df-4b25-af71-e986ba07e8b8,50,55,55,85,58,C_watch,low,0.4,False
Luckey Truck Company Inc,Devine,Medina,TX,78016,specialty_trucking,484220,Luckey family (associated with Luckey Custom Feedlot Inc),,unverified,44,44,1982,6,,agricultural,USDOT 1613477,,unknown_not_verified_comptroller,False,,https://www.luckeyfeedlot.com/,(830) 665-3624,60142bff-46df-4b25-af71-e986ba07e8b8,70,25,60,70,44,D_pass,low,0.5,False
JPI Trucking LLC,Houston,Harris,TX,77076,specialty_trucking,484220,unverified family,,unverified,,,,,,aggregate,,,unknown_not_verified_comptroller,False,,https://www.jpitrucking.com/,(832) 740-4901,60142bff-46df-4b25-af71-e986ba07e8b8,30,45,40,85,45,C_watch,low,0.3,False
Mission Petroleum Carriers Inc,San Antonio,Bexar,TX,,specialty_trucking,484220,Privately owned (unverified specific principal),,unverified,61,61,1965,,,crude_oil,,,unknown_not_verified_comptroller,False,,https://www.mipe.com/,(713) 943-8250,60142bff-46df-4b25-af71-e986ba07e8b8,75,65,65,88,71,B_forward,low,0.45,False
Indeca Crude Xpress LLC,Odessa,Ector,TX,79765,specialty_trucking,484220,unverified,,unverified,,,,98,,crude_oil,USDOT 2978046,MC-12529,unknown_not_verified_comptroller,False,,https://indecacrudexpress.com/,(432) 563-2749,60142bff-46df-4b25-af71-e986ba07e8b8,30,20,25,78,33,D_pass,low,0.35,False
PennCo Transport Inc,Saginaw,Tarrant,TX,76179,specialty_trucking,484220,unverified family,,unverified,22,22,2004,15,,crude_oil,USDOT 1292521,MC-502424,unknown_not_verified_comptroller,False,,https://www.penncotransport.com/,(817) 439-2094,60142bff-46df-4b25-af71-e986ba07e8b8,50,70,60,78,62,B_forward,low,0.55,False
Texas Hot Oilers Inc,Giddings,Lee,TX,78942,specialty_trucking,484220,unverified family,,unverified,44,44,1982,28,,oil_gas_water_hauling,USDOT 1938349,,unknown_not_verified_comptroller,False,,https://texashotoilers.com/,(979) 542-9341,60142bff-46df-4b25-af71-e986ba07e8b8,75,78,78,85,78,A_acquire_self,medium,0.55,True
Western Dairy Transport LLC,Stephenville,Erath,TX,76401,specialty_trucking,484220,Honeycutt family (founder),,founder_family_named,59,59,1967,,,refrigerated,,,missouri_hq_not_tx_comptroller_jurisdiction,False,,https://www.wdtmilk.com/,(254) 918-5100,60142bff-46df-4b25-af71-e986ba07e8b8,40,20,30,50,34,D_pass,high,0.35,False
Winburn Milk Company Inc,Sulphur Springs,Hopkins,TX,75482,specialty_trucking,484220,C.D. Ballard (President); daughters Tammy Ballard Acker + Terri Monday,75,ballard_acquired_1980s_likely_30s_plus_45yrs,45,59,1967,29,,refrigerated,USDOT 109646,MC-401614,unknown_not_verified_comptroller,False,,,(903) 885-2340,60142bff-46df-4b25-af71-e986ba07e8b8,95,82,92,80,89,A_acquire_self,medium,0.75,True
Houston Refrigerated Logistics Inc,Houston,Harris,TX,77012,specialty_trucking,484220,Dennis & Julie Carroll,,founder_named_2013,13,13,2013,,,refrigerated,,,unknown_not_verified_comptroller,False,,https://hrlcorp.com/,(713) 928-9940,60142bff-46df-4b25-af71-e986ba07e8b8,25,35,30,80,37,D_pass,low,0.4,False
JA Harris Trucking Inc,Houston,Harris,TX,77029,specialty_trucking,484220,Jaime A. Harris + Rogelio Gonzalez (founders); Joe Harris (joined 2005),60,founder_named_2004_likely_late_30s_plus_22yr,22,22,2004,15,,heavy_haul,USDOT 1257879,MC-492527,unknown_not_verified_comptroller,False,,https://www.jaharristrucking.com/,(713) 672-6900,60142bff-46df-4b25-af71-e986ba07e8b8,60,72,65,90,69,B_forward,medium,0.65,False
Dunagin Transport Company,Merkel,Taylor,TX,79536,specialty_trucking,484220,Dunagin family (unverified specific principal),,unverified,45,45,1981,120,,oil_gas_water_hauling,USDOT 2077527,MC-1090446,unknown_not_verified_comptroller,False,,https://dunagintransport.com/,(325) 928-5253,60142bff-46df-4b25-af71-e986ba07e8b8,75,20,50,78,44,D_pass,medium,0.5,False
Ahrens Brothers Transport Inc,Brenham,Washington,TX,,specialty_trucking,484220,Ahrens family (brothers — unverified specific principals),72,founder_brothers_1978_likely_70s,48,48,1978,19,,chemical,,,unknown_not_verified_comptroller,False,,https://ahrensbrotherstransport.com/,(979) 836-1660,60142bff-46df-4b25-af71-e986ba07e8b8,88,80,80,80,82,A_acquire_self,medium,0.55,True
HD5 Transport LLC,Dripping Springs,Hays,TX,78620,specialty_trucking,484220,unverified,,unverified,15,15,2011,15,,chemical,USDOT 2175920,MC-861620,unknown_not_verified_comptroller,False,,https://hd5transport.com/,(512) 848-5891,60142bff-46df-4b25-af71-e986ba07e8b8,30,60,40,80,48,C_watch,low,0.45,False
Pulido Transport LP,Houston,Harris,TX,77049,specialty_trucking,484220,"Joe Pulido (founder, former truck driver)",65,founder_named_1995_former_driver_likely_35_at_founding,31,31,1995,29,,chemical,USDOT 1345468,MC-553176,unknown_not_verified_comptroller,False,,https://pulidotransport.com/,(832) 243-4658,60142bff-46df-4b25-af71-e986ba07e8b8,85,82,82,92,84,A_acquire_self,medium,0.7,True
Forerunner Ag LLC,Hereford,Deaf Smith,TX,79045,specialty_trucking,484220,James Barrett (associated),,associated_principal_named,20,,,27,,agricultural,USDOT 732476,MC-736283,unknown_not_verified_comptroller,False,,https://www.forerunnerag.com/,(806) 346-2092,60142bff-46df-4b25-af71-e986ba07e8b8,50,68,55,78,60,B_forward,low,0.5,False
Texas Milk Transport Inc,Dimmitt,Castro,TX,79027,specialty_trucking,484220,unverified,,unverified,,,,19,,refrigerated,USDOT 1945776,MC-1635867,unknown_not_verified_comptroller,False,,,(559) 786-0920,60142bff-46df-4b25-af71-e986ba07e8b8,25,50,45,65,43,D_pass,low,0.35,False
Texas Oilfield Transportation Inc,Mt Enterprise,Rusk,TX,75681,specialty_trucking,484220,unverified,,unverified,,,,20,,heavy_haul,USDOT 2166062,MC-753778,unknown_not_verified_comptroller,False,,,(903) 822-3320,60142bff-46df-4b25-af71-e986ba07e8b8,35,55,60,70,53,C_watch,low,0.35,False
REX Oilfield Services LP,Midland,Midland,TX,79706,specialty_trucking,484220,,,no_disclosure_no_website,19,19,2007,49,30,oil_gas_water_hauling,USDOT 1703893,MC-625328,unknown_pending_comptroller_lookup,False,,,(432) 813-2969,60142bff-46df-4b25-af71-e986ba07e8b8,50,70,75,85,68,B_forward,low,0.55,False
West Texas Frac Sand Logistics LLC,Odessa,Ector,TX,79763,specialty_trucking,484220,,,no_disclosure_on_website,,,,40,,frac_sand,USDOT 3115781,MC-1055106,unknown_pending_comptroller_lookup,False,,https://wtxfracsandlogistics.com/,(432) 208-3159,60142bff-46df-4b25-af71-e986ba07e8b8,35,55,55,80,53,C_watch,low,0.4,False
Black Rhino Energy Services Inc,Seminole,Gaines,TX,79360,specialty_trucking,484220,Cesar Carreon (President per LinkedIn),,linkedin_president_listing,,,,14,14,frac_sand,USDOT 3715907,MC-1305993,unknown_pending_comptroller_lookup,False,,https://bresincorp.energy/,(915) 242-3957,60142bff-46df-4b25-af71-e986ba07e8b8,20,35,25,78,34,D_pass,low,0.5,False
Viper Specialized Services LLC,Midland,Midland,TX,79707,specialty_trucking,484220,,,70_plus_years_industry_experience_proxy_no_named_owner,,,,30,,heavy_equipment,USDOT 3276691,MC-1035326,unknown_pending_comptroller_lookup,False,,https://viperss.net/,(432) 241-0917,60142bff-46df-4b25-af71-e986ba07e8b8,45,65,55,85,59,C_watch,low,0.55,False
Capitol Land & Livestock Trucks Inc,Schwertner,Williamson,TX,76573,specialty_trucking,484220,Jim Schwertner (CEO/President; son of founder Eugene Schwertner). Jimmy Schwertner (Jim's son) involved as 3rd generation.,49,texas_monthly_jan_2022_age_45,,80,1946,50,,agricultural,USDOT 136632,,unknown_pending_comptroller_lookup,False,,https://cllnet.com/,(254) 527-3342,60142bff-46df-4b25-af71-e986ba07e8b8,15,30,10,78,27,D_pass,high,0.9,False
Ag Land & Cattle Inc,Hereford,Deaf Smith,TX,79045,specialty_trucking,484220,,,no_disclosure_no_website,,,,9,,agricultural,USDOT 2185274,,unknown_pending_comptroller_lookup,False,,,(806) 578-4262,60142bff-46df-4b25-af71-e986ba07e8b8,30,30,55,75,44,D_pass,low,0.3,False
Texas Tank Trucks Inc,Breckenridge,Stephens,TX,76424,specialty_trucking,484220,,63,33_yr_tenure_proxy_assume_~30_at_founding,33,33,1993,36,30,oil_gas_water_hauling,USDOT 785769,MC-351013,unknown_pending_comptroller_lookup,False,,,(254) 559-5404,60142bff-46df-4b25-af71-e986ba07e8b8,80,68,88,70,78,B_forward,low,0.55,True
W M Dewey & Son Inc,Houston,Harris,TX,,specialty_trucking,484220,McDowell family (Todd McDowell purchased Dewey interests mid-1950s; 2nd + 3rd generation McDowell currently active),,1950s_acquisition_proxy_3rd_gen_now_in_30s-50s,,131,1895,40,,heavy_equipment,USDOT 115152,MC-1492,unknown_pending_comptroller_lookup,False,,https://wmdewey.com/,(713) 672-7511,60142bff-46df-4b25-af71-e986ba07e8b8,55,35,20,88,44,D_pass,medium,0.75,False
Kimrad Transport LP,Amarillo,Potter,TX,79118,specialty_trucking,484220,Brad and Kimila Pohlmeier (husband-wife co-founders),60,2003_founding_plus_career_proxy_likely_50s_at_founding,23,23,2003,,,chemical,,,unknown_pending_comptroller_lookup,False,,https://www.kimrad.com/,(866) 359-3882,60142bff-46df-4b25-af71-e986ba07e8b8,60,72,50,80,63,B_forward,medium,0.7,False
Cole Distributing,Palestine,Anderson,TX,75801,specialty_trucking,484220,Cole family (specific principal not named on site),,no_named_owner_only_cole_family_generic,,,,25,,chemical,,,unknown_pending_comptroller_lookup,False,,https://coledistributing.net/,(903) 303-5571,60142bff-46df-4b25-af71-e986ba07e8b8,35,45,50,70,47,C_watch,low,0.45,False
QW Transport,Dallas,Dallas,TX,75247,specialty_trucking,484220,Rick Golman (Founding Partner). Sons Brett Golman + Zach Golman = VP Operations partners. Son-in-law Eric Freedman = General Counsel partner.,72,ut_austin_1976_grad,21,21,2005,50,50,chemical,,,unknown_pending_comptroller_lookup,False,,https://qwtransport.com/,(214) 432-3582,60142bff-46df-4b25-af71-e986ba07e8b8,80,75,50,80,44,D_pass,high,0.85,False
Petroleum Express Inc,Houston,Harris,TX,77029,specialty_trucking,484220,,,30_plus_years_in_petroleum_industry_proxy,,,,21,,chemical,USDOT 1922866,MC-1527881,unknown_pending_comptroller_lookup,False,,https://www.petroleumexpress.com/,(713) 223-0231,60142bff-46df-4b25-af71-e986ba07e8b8,50,68,65,92,65,B_forward,low,0.45,False
Galaxy Freight Services Inc,Houston,Harris,TX,77032,specialty_trucking,484220,Family-owned (2nd generation); specific owner names not public on site,60,2nd_gen_of_1970_founding_father_was_founder,,56,1970,,,heavy_equipment,,,unknown_pending_comptroller_lookup,False,,https://galaxyfreightservices.com/,(281) 442-7447,60142bff-46df-4b25-af71-e986ba07e8b8,70,50,65,85,66,B_forward,low,0.55,False
Zamco Trucking LLC,San Antonio,Bexar,TX,78221,specialty_trucking,484220,Luis C. Zamora (founder; status unclear if active or retired). Alma Zamora = Office Manager (family successor).,73,1980_founding_assume_~27_at_founding,46,46,1980,,,aggregate,,,unknown_pending_comptroller_lookup,False,,https://www.zamcotrucking.com,(210) 628-1224,60142bff-46df-4b25-af71-e986ba07e8b8,92,60,92,82,82,A_acquire_self,medium,0.7,True
Sisu Energy LLC,Fort Worth,Tarrant,TX,,specialty_trucking,484220,"Jim Grundy (CEO/Founder/Owner). Forbes Scott (VP Ops, was Dir BD). Don Washburn (President/CFO at sister entity Sisu Energy & Environmental).",,ut_arlington_mba_proxy_unknown_grad_year,7,7,2019,,,frac_sand,USDOT 3328258,MC-1060184,unknown_pending_comptroller_lookup,False,,https://sisuenergyllc.com/,,60142bff-46df-4b25-af71-e986ba07e8b8,20,20,10,80,26,D_pass,high,0.65,False
Rios Trucking Co LLC,Hearne,Robertson,TX,77859,specialty_trucking,484220,Rios family (specific principal not named on site),65,38_yr_tenure_proxy_assume_~27_at_founding,38,38,1988,7,,aggregate,USDOT 1968138,,unknown_pending_comptroller_lookup,False,,https://www.riostruckingco.com/,(979) 589-1099,60142bff-46df-4b25-af71-e986ba07e8b8,78,55,80,78,73,C_watch,low,0.55,False
Asphalt Transport Inc,Houston,Harris,TX,77530,specialty_trucking,484220,Bradley Burgess listed as VP of Sales (not principal). Owner identity not public.,,no_named_owner,,29,1997,159,,chemical,USDOT 728166,MC-333065,unknown_pending_comptroller_lookup,False,,https://atitransports.com/,(281) 452-7070,60142bff-46df-4b25-af71-e986ba07e8b8,40,15,30,88,38,D_pass,low,0.5,False
Loomis Trucking,Houston,Harris,TX,77015,specialty_trucking,484220,"Judy Loomis (current proprietor; runs dispatch from home). Terry Loomis (co-founder, deceased 2023).",68,1989_bbb_record_assume_~30_at_founding,33,33,1993,5,,hot_shot,USDOT 1628896,,unknown_pending_comptroller_lookup,True,co_owner_terry_loomis_deceased_2023,https://www.loomistrucking.com/,(713) 455-6566,60142bff-46df-4b25-af71-e986ba07e8b8,80,20,90,80,25,D_pass,medium,0.7,False
Atascosa Materials LLC,Pleasanton,Atascosa,TX,78064,specialty_trucking,484220,Mike McCauley (associated per Chamber + business directory),,directory_contact_only_no_age,,,,27,25,aggregate,USDOT 2161206,,unknown_pending_comptroller_lookup,False,,,(830) 569-3871,60142bff-46df-4b25-af71-e986ba07e8b8,50,70,75,82,67,B_forward,low,0.5,False
Hearn Trucking LLC,Weatherford,Parker,TX,76088,specialty_trucking,484220,"Jack Hearn Jr. (founder, 3rd-generation trucker family)",67,started_one_truck_1987_assume_~28_at_founding,39,39,1987,55,,refrigerated,USDOT 944902,MC-405475,unknown_pending_comptroller_lookup,False,,https://hearntrucking.com/,(817) 613-1005,60142bff-46df-4b25-af71-e986ba07e8b8,88,72,78,82,80,B_forward,medium,0.8,True
Oden Transport LLC,Wilson,Lynn,TX,79381,specialty_trucking,484220,"Bobby J 'BJ' Oden (founder, registered agent; ~18 yrs industry experience per website)",,18_yr_industry_proxy_unknown_start_age,,,,6,,heavy_equipment,USDOT 2364755,MC-815779,unknown_pending_comptroller_lookup,False,,https://www.odentransport.com/,(432) 530-7078,60142bff-46df-4b25-af71-e986ba07e8b8,30,30,45,78,42,D_pass,low,0.5,False
Lubbock Cotton Growers,Lubbock,Lubbock,TX,79404,specialty_trucking,484220,"Cooperative gin operation (member-owned, NOT private). Jerry Butman = Manager.",,cooperative_entity_not_individual_owned,,87,1939,6,,agricultural,USDOT 3306201,,unknown_pending_comptroller_lookup,True,cooperative_entity_not_acquirable_as_private_business,https://lubbockcottongrowers.com/,(806) 392-6349,60142bff-46df-4b25-af71-e986ba07e8b8,15,15,15,70,23,D_pass,high,0.7,False
Fred Garrison Oil Co,Plainview,Hale,TX,79072,specialty_trucking,484220,"Gary Garrison (CEO/President, 3rd generation). Founded 1948 by grandfather Charles Garrison. Gary's father was 2nd gen.",65,3rd_gen_of_1948_founding_proxy,,78,1948,51,,chemical,USDOT 229835,MC-934159,unknown_pending_comptroller_lookup,False,,https://www.allstarfuel.com/,(806) 296-6353,60142bff-46df-4b25-af71-e986ba07e8b8,70,65,40,80,61,B_forward,medium,0.85,False
Southeast Texas Timber & Trucking Co Inc,Kountze,Hardin,TX,77625,specialty_trucking,484220,Todd R Mayo (President),,29_yr_tenure_no_age_disclosure,29,29,1997,2,,heavy_equipment,USDOT 1979584,,unknown_pending_comptroller_lookup,False,,,(409) 246-8242,60142bff-46df-4b25-af71-e986ba07e8b8,50,20,60,60,44,D_pass,low,0.4,False
Petroleum Transport Inc,Lubbock,Lubbock,TX,79415,specialty_trucking,484220,,,ultra_low_USDOT_proxy_pre-1980_likely,,,,19,7,chemical,USDOT 227383,MC-501658,unknown_pending_comptroller_lookup_SAFER_INACTIVE_FLAG,True,safer_record_marked_inactive_per_spine,,(806) 763-5301,60142bff-46df-4b25-af71-e986ba07e8b8,20,15,30,60,25,D_pass,high,0.45,False
Coastal Plains Trucking LLC,Lufkin,Angelina,TX,,specialty_trucking,484220,,,no_named_owner_on_website,15,15,2011,,,crude_oil,USDOT 3566272,,unknown_pending_comptroller_lookup,False,,https://www.coastalplainsllc.com/,(817) 917-7240,60142bff-46df-4b25-af71-e986ba07e8b8,35,65,30,85,48,C_watch,low,0.6,False
Meridian Trucking LLC,Midland,Midland,TX,79707,specialty_trucking,484220,,,newer_company_proxy_younger_ownership,,,,,,oil_gas_water_hauling,,,unknown_pending_comptroller_lookup,False,,https://meridian-trucking.com/,(432) 756-0187,60142bff-46df-4b25-af71-e986ba07e8b8,15,35,20,80,31,D_pass,medium,0.45,False
Iron Wheel Energy Services LLC,Midland,Midland,TX,79706,specialty_trucking,484220,Benjamin H. Kail (President/CEO/Founder). Martin Kail (VP Internal Operations) — family member.,,career_proxy_2011_PMK_start,6,6,2020,,,frac_sand,,,unknown_pending_comptroller_lookup,False,,https://www.ironwheel-es.com/,(432) 242-3506,60142bff-46df-4b25-af71-e986ba07e8b8,20,30,15,80,30,D_pass,high,0.6,False
Twisted Nail LLC,Waco,McLennan,TX,76708,specialty_trucking,484220,Hunter Kosar (Owner/President/Founder; Baylor University graduate). Family business — Andrea Kosar (per Wacoan magazine) likely spouse.,40,baylor_grad_proxy_~30_at_founding,12,12,2014,0,,aggregate,,,unknown_pending_comptroller_lookup,False,,https://twistednail.com/,(254) 651-3597,60142bff-46df-4b25-af71-e986ba07e8b8,15,15,15,82,25,D_pass,high,0.75,False
U.S. Sand & Gravel,Stephenville,Erath,TX,,specialty_trucking,484220,Casey and Celeste Raitz (husband-wife co-founders). Tarleton State University graduates. Casey = CEO.,42,tarleton_grad_2015_founding_proxy_~30_at_founding,11,11,2015,,,aggregate,,,unknown_pending_comptroller_lookup,False,,https://www.ussandandgravel.com/,(866) 770-3478,60142bff-46df-4b25-af71-e986ba07e8b8,15,30,10,78,27,D_pass,high,0.75,False
Nichols Transportation,Kilgore,Rusk,TX,,specialty_trucking,484220,Nichols family (specific principal not on public site),60,31_yr_tenure_proxy_~30_at_founding,31,31,1995,,,heavy_equipment,,,unknown_pending_comptroller_lookup,False,,https://www.nicholstrans.com/,(903) 986-2244,60142bff-46df-4b25-af71-e986ba07e8b8,65,55,60,78,63,B_forward,low,0.45,False
Texas Panhandle Logistics LLC,Dimmitt,Castro,TX,,specialty_trucking,484220,Email contact anlopez@ — likely 'An Lopez' or similar Spanish-surname owner,,no_disclosure_email_proxy_only,8,8,2018,,,refrigerated,,MC-1092162,unknown_pending_comptroller_lookup,False,,https://www.txpanhandlelogistics.com/,(806) 240-5206,60142bff-46df-4b25-af71-e986ba07e8b8,25,50,30,75,40,D_pass,low,0.4,False
Diamond B Energy Services,Lubbock,Lubbock,TX,79414,specialty_trucking,484220,"Ben Burkholder (Managing Member, CEO/President)",,13_yr_operation_BBB_no_age_disclosure,13,13,2013,129,,crude_oil,USDOT 2120653,MC-739224,unknown_pending_comptroller_lookup,False,,https://diamondbenergy.com/,(806) 785-1300,60142bff-46df-4b25-af71-e986ba07e8b8,30,15,25,80,32,D_pass,medium,0.8,False
